year,name,Movie_ID,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects
2004,Troy,0332452,163,"['Julian Glover', 'Brian Cox', 'Nathan Jones', 'Adoni Maropis', 'Jacob Smith', 'Brad Pitt', 'John Shrapnel', 'Brendan Gleeson', 'Diane Kruger', 'Eric Bana', 'Orlando Bloom', 'Siri Svegler', 'Lucie Barat', 'Ken Bones', 'Manuel Cauchi', 'Mark Lewis Jones', 'Garrett Hedlund', 'Sean Bean', 'Julie Christie', ""Peter O'Toole"", 'James Cosmo', 'Nigel Terry', 'Trevor Eve', 'Owain Yeoman', 'Saffron Burrows', 'Luke Tal', 'Matthew Tal', 'Rose Byrne', 'Vincent Regan', 'Tyler Mane', 'Louis Dempsey', 'Joshua Richards', 'Tim Chipping', 'Desislava Stefanova', 'Tanja Tzarovska', 'Alex King', 'Frankie Fitzgerald']","['Drama', 'History']","['us', 'mt', 'gb']",['en'],R,175000000.0,"$46,865,412, 16 May 2004",,7.2,462146.0,13 May 2004 (Albania),Troy,Wolfgang Petersen,Homer,,Winston Azzopardi,Barbara Huber,Warner Bros.,Helena Productions,James Horner,Peter Honess,Roger Pratt,Anna Pinnock,Paul Attard,Nicolas Aithadi
2004,Mean Girls,0377092,97,"['Lindsay Lohan', 'Rachel McAdams', 'Tina Fey', 'Tim Meadows', 'Amy Poehler', 'Ana Gasteyer', 'Lacey Chabert', 'Lizzy Caplan', 'Daniel Franzese', 'Neil Flynn', 'Jonathan Bennett', 'Amanda Seyfried', 'Rajiv Surendra', 'Elana Shilling', 'Graham Kartna', 'Ely Henry', 'David Aherne', 'Ayo Agbonkpolo', 'Molly Shanahan', 'Jonathan Malen', 'Jeff Moser', 'Miranda Edwards', 'Les Porter', 'Eve Crawford', 'Jack Newman', 'Michelyn Emelle', 'Bathsheba Garnett', 'Ky Pham', 'Danielle Nguyen', 'Daniel DeSanto', 'Alisha Morrison', 'Chris Anton', 'Dwayne Hill', 'Diego Klattenhoff', 'Jan Caruana', 'Wai Choy', 'Julia Chantrey', 'Jacky Chamberlain', 'Olympia Lukis', 'Stefanie Drummond', 'Kristen Bone', 'Jessie Wright', 'Tyson Fennell', 'Stephan Dickson', 'Andreja Punkris', 'Noelle Boggio', 'Jordan Dawe', 'Alexandra Stapley', 'Laura de Carteret', 'Nicole Crimi', 'Erin Norah Thompson', 'Dan Willmott', 'Michelle Hoffman', 'Valerie Casault', 'Sharron Matthews', 'Jo Chim', 'Randi Lee Butcher', 'Erin Jarvis', 'Kaylen Christensen', 'Jill Morrison', 'David Sazant', 'Clare Preuss', 'Bruce Hunter', 'Megan Millington', 'Tara Shelley', 'Shannon Todd', 'Marc Allen', 'Darryl Armstrong', 'Krysta Carter', 'Nicholas A. Catalano', 'Alex Cameron Dimez', 'Sima Fisher', 'John Gadsden', 'Lucila Grzetic', 'Bernard Josipovic', 'Michael Kilcullen', 'William R Phillips', 'David Reale', 'Talia Russo', 'Brigitte Wulf']",['Comedy'],"['us', 'ca']","['en', 'de', 'vi', 'sw']",PG-13,17000000.0,"$24,432,195, 02 May 2004",129042871.0,7.0,309638.0,30 Apr 2004 (Canada),Mean Girls,Mark Waters,Rosalind Wiseman,,Jennifer Guinier,Jill Sobel Messick,Paramount Pictures,M.G. Films,Rolfe Kent,Wendy Greene Bricmont,Daryn Okada,Patricia Cuccia,Sarah Campbell,Akemi Abe
2004,The Polar Express,0338348,100,"['Tom Hanks', 'Leslie Zemeckis', 'Eddie Deezen', 'Nona Gaye', 'Peter Scolari', 'Brendan King', 'Andy Pellick', 'Josh Eli', 'Mark Mendonca', 'Rolondas Hendricks', 'Mark Goodman', 'Jon Scott', 'Gregory Gast', 'Sean Scott', 'Gordon Hart', 'Michael Jeter', 'Chris Coppola', 'Julene Renee', 'Charles Fleischer', 'Steven Tyler', 'Phil Fondacaro', 'Debbie Lee Carrington', 'Mark Povinelli', 'Ed Gale', 'Dante Pastula', 'Daryl Sabara', 'André Sogliuzzo', 'Jimmy Bennett', 'Isabella Peregrina', 'Eric Newton', ""Aidan O'Shea"", 'Aaron Hendry', 'Kevin C. Carr', 'Bee Jay Joyer', 'Jena Carpenter', 'Karine Mauffrey', 'Elisabeth P. Carpenter', 'Bill Forchion', 'Devin Henderson', 'Sagiv Ben-Binyamin', 'Josh Hutcherson', 'Ashly Holloway', ""Jimmy 'Jax' Pinchak"", 'Chantel Valdivieso', 'Hayden McFarland', 'Connor Matheus', 'Evan Sabara', 'Dylan Cash', 'Cody Klop', 'Patrick Stogner']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",['us'],['en'],G::(No. 41220),165000000.0,"$40,428, 23 Nov 2008",307514317.0,6.6,159096.0,10 Nov 2004 (Canada),The Polar Express,Robert Zemeckis,Chris Van Allsburg,,Steven J. Boyd,Debbie Denise,Castle Rock Entertainment,Shangri-La Entertainment,Alan Silvestri,R. Orlando Duenas,Don Burgess,Karen O'Hara,Rick Kelly,Ryan Adams
2004,Dodgeball: A True Underdog Story,0364725,92,"['Vince Vaughn', 'Christine Taylor', 'Ben Stiller', 'Rip Torn', 'Justin Long', 'Stephen Root', 'Joel David Moore', 'Chris Williams', 'Alan Tudyk', 'Missi Pyle', 'Jamal Duff', 'Gary Cole', 'Jason Bateman', 'Hank Azaria', 'Al Kaplon', 'Lance Armstrong', 'Chuck Norris', 'William Shatner', 'David Hasselhoff', 'Julie Gonzalo', ""Trever O'Brien"", 'Cayden Boyd', 'Rusty Joiner', 'Kevin Porter', 'Brandon Molale', 'Suzy Nakamura', 'Lori Beth Denberg', 'Julia Ensign', 'David Boyd', 'Bowd Beal', 'Curtis Armstrong', 'Tate Chalk', 'Jordyn Colemon', 'Hayley C. Rosales', 'Bix Barnaba', 'Earl Schuman', ""Robert 'Duckie' Carpenter"", 'Tony Daly', 'Amy Stiller', 'Jim Cody Williams', 'John Kesler', 'Doug Grimes', 'Scarlett Chorvat', 'Matt Levin', 'Rawson Marshall Thurber', 'Sik End', 'Stephen B. Turner', 'Tim Soergel', 'Andy Chanley', 'Jennifer England', 'Priscilla Leona Horne', 'Jeffrey Kennedy', 'Tobias McKinney', 'Candice Michelle', 'Brian W. Wallace']","['Comedy', 'Sport']",['us'],"['en', 'de']",Unrated,20000000.0,"$30,070,196, 20 Jun 2004",167722310.0,6.7,217798.0,18 Jun 2004 (USA),Dodgeball: A True Underdog Story,Rawson Marshall Thurber,Rawson Marshall Thurber,,Stuart Cornfeld,Todd C. Guzze,Twentieth Century Fox,Mediastream Vierte Film GmbH & Co. Vermarktungs KG,Theodore Shapiro,Alan Baumgarten,Jerzy Zielinski,Gene Serdena,George Bamber,Ryan Beadle
2004,Harry Potter and the Prisoner of Azkaban,0304141,142,"['Daniel Radcliffe', 'Richard Griffiths', 'Pam Ferris', 'Fiona Shaw', 'Harry Melling', 'Adrian Rawlins', 'Geraldine Somerville', 'Lee Ingleby', 'Lenny Henry', 'Jimmy Gardner', 'Gary Oldman', 'Jim Tavaré', 'Robert Hardy', 'Abby Ford', 'Rupert Grint', 'Emma Watson', 'Oliver Phelps', 'James Phelps', 'Chris Rankin', 'Julie Walters', 'Bonnie Wright', 'Mark Williams', 'David Thewlis', 'Devon Murray', 'Warwick Davis', 'David Bradley', 'Michael Gambon', 'Alan Rickman', 'Maggie Smith', 'Robbie Coltrane', 'Matthew Lewis', 'Sitara Shah', 'Jennifer Smith', 'Tom Felton', 'Bronson Webb', 'Josh Herdman', 'Genevieve Gaunt', 'Kandice Morris', 'Alfred Enoch', 'Dawn French', 'Annalisa Bugliani', 'Tess Bu Cuarón', 'Violet Columbus', 'Paul Whitehouse', 'Emma Thompson', 'Ekow Quartey', 'Rick Sahota', 'Jamie Waylett', 'Sharon Sandhu', 'Danielle Tabor', 'Julie Christie', 'Freddie Davies', 'Peter Best', 'Timothy Spall', 'Ian Brown']","['Adventure', 'Family', 'Fantasy', 'Mystery']","['gb', 'us']",['en'],TV-PG::(V),130000000.0,,,7.9,503877.0,31 May 2004 (UK),Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,J.K. Rowling,,Michael Barnathan,Chris Carreras,Warner Bros.,1492 Pictures,John Williams,Steven Weisberg,Michael Seresin,Stephenie McMillan,Iain Atkinson,Tim Aidley
2004,The Incredibles,0317705,115,"['Craig T. Nelson', 'Holly Hunter', 'Samuel L. Jackson', 'Jason Lee', 'Dominique Louis', 'Teddy Newton', 'Jean Sincere', 'Eli Fucile', 'Maeve Andrews', 'Wallace Shawn', 'Spencer Fox', 'Lou Romano', 'Wayne Canney', 'Sarah Vowell', 'Michael Bird', 'Elizabeth Peña', 'Bud Luckey', 'Brad Bird', ""Bret 'Brook' Parker"", 'Kimberly Adair Clark', 'John Ratzenberger', 'Mark Andrews', 'Nicholas Bird', 'Louis Martin Braga III', 'Mary Elizabeth Clark', 'Pete Docter', 'Louis Gonzales', 'Elizabeth Greenberg', 'Juliet Greenberg', 'Billy Guardino', ""Dennis 'D.J.' Jennings"", 'Ollie Johnston', 'Bradford Lewis', 'Ted Mathot', 'Jazzie Mahannah', 'Randy Nelson', 'Bob Peterson', 'Jeff Pidgeon', 'Juliet Pokorny', 'Joe Ranft', 'Lori Richardson', 'A.J. Riebli III', 'Katherine Ringgold', 'Stephen Schaffer', 'Bob Scott', 'Peter Sohn', 'Andrew Stanton', 'Frank Thomas', 'Pamela Gaye Walker', 'Patrick Walker', 'Deirdre Warin', 'Rene Bitorajac', 'Branko Djuric', 'Bojana Gregoric', 'Sinisa Popovic', 'Filip Sovagovic', 'Ivica Vidovic', 'John Walker', 'Philip Wong']","['Animation', 'Action', 'Adventure', 'Family']",['us'],"['en', 'fr']",TV-PG::(V),92000000.0,"$70,467,623, 07 Nov 2004",631442092.0,8.0,619270.0,05 Nov 2004 (Canada),The Incredibles,Brad Bird,Brad Bird,,John Lasseter,Kori Rae,Pixar Animation Studios,Walt Disney Pictures,Michael Giacchino,Stephen Schaffer,Andrew Jimenez,,,Jessica Abroms
2004,The Notebook,0332280,123,"['Tim Ivey', 'Gena Rowlands', 'Starletta DuPois', 'James Garner', 'Anthony-Michael Q. Thomas', 'Ed Grady', 'Renée Amber', 'Jennifer Echols', 'Geoffrey Knight', 'Kevin Connolly', 'Ryan Gosling', 'Heather Wahlquist', 'Rachel McAdams', 'Andrew Schaff', 'Matt Shelly', 'Michael D. Fuller', 'Jonathan Parks Jordan', 'Leslea Fisher', 'Jude Kitchens', 'Sam Shepard', 'David Thornton', 'Joan Allen', ""Tim O'Brien"", ""Meredith O'Brien"", 'Cullen Moss', 'Thunderbird Dinwiddie', 'Pat Leonard', 'Kweli Leapart', 'James Middleton', 'Frederick Bingham', 'Daniel Czekalski', 'Peter Rosenfeld', 'Bradley D. Capshaw', 'James Scott Deaton', 'James Marsden', 'Eve Kagan', 'Stephanie Wheeler', 'Erin Guzowski', 'Obba Babatundé', 'Chuck Pacheco', 'John Cundari', 'Hugh Robertson', 'Robert Washington', 'Todd Lewis', 'Mark Johnson', 'Robert Fraisse', 'Barbara Weetman', 'Daniel Chamblin', 'Sasha Azevedo', 'Jamie Anne Allman', 'Robert Ivey', 'Rebecca Koon', 'Sandra Elise Williams', 'Deborah Hobart', 'Lindy Newton', 'Sherril M. Turner', 'Sylvia Jefferies', 'Mark Garner', 'Scott Ritenour', 'Milton Buras', 'Elizabeth Bond', 'Matthew Barry', 'Nancy De Mayo', 'Meredith Zealy', 'Julianne Keller Lewis', 'Madison Wayne Ellis', 'Riley Novak', 'Ronald Betts', 'David Abrams', 'Patricia Buckley-Moss', 'Jonathan Dickson', 'Taylor Engel', 'Bob Forrest', 'Paul Johansson', 'Michael L. Nesbitt', 'Adam Sumner', 'Cameron Thrower', 'Bruce Williamson', 'Quincy Lamar Wills']","['Drama', 'Romance']",['us'],['en'],PG-13::(No. 40279),29000000.0,"$13,464,745, 27 Jun 2004",116072707.0,7.8,486776.0,25 Jun 2004 (Canada),The Notebook,Nick Cassavetes,Jeremy Leven,,Toby Emmerich,Lynn Harris,New Line Cinema,Gran Via,Aaron Zigman,Alan Heim,Robert Fraisse,Chuck Potter,Alexandre Bernard,Alp Altiner
2004,The Machinist,0361862,101,"['Christian Bale', 'Jennifer Jason Leigh', 'Aitana Sánchez-Gijón', 'John Sharian', 'Michael Ironside', 'Lawrence Gilliard Jr.', 'Reg E. Cathey', 'Anna Massey', 'Matthew Romero Moore', 'Robert Long', 'Colin Stinton', 'Craig Stevenson', 'Ferran Lahoz', 'Jeremy Xido', 'Norman Bell', 'Nancy Crane', 'Richard Torrington', 'Buffy Davis', 'Reg Wilson', 'Ramon Camín', 'Christopher Hood', 'Marc Aspinall', 'Guillermo Ayesa', 'Daniel Ceren', 'Marta Rubio', 'Ewan Watson', 'Chike Johnson', 'Molly Malcolm', 'Jaume Mimó', 'Flora Álvarez', 'Juan Carlos Guzmán', 'Ina Liza', 'James DePaul', 'Oliver Moon']","['Drama', 'Thriller']","['es', 'fr', 'gb', 'us']","['en', 'es']",R,5000000.0,,,7.7,336596.0,11 Nov 2004 (Germany),The Machinist,Brad Anderson,Scott Kosar,,Javier Arsuaga,Carlos Fernández,Filmax Group,Castelao Producciones,Roque Baños,Luis de la Madrid,Xavi Giménez,Héctor Gil,Víctor Cuadrado,Josep Maria Aragonés
2004,Eternal Sunshine of the Spotless Mind,0338013,108,"['Jim Carrey', 'Kate Winslet', 'Gerry Robert Byrne', 'Elijah Wood', 'Thomas Jay Ryan', 'Mark Ruffalo', 'Jane Adams', 'David Cross', 'Kirsten Dunst', 'Tom Wilkinson', 'Ryan Whitney', 'Debbon Ayer', 'Amir Ali Said', 'Brian Price', 'Paulie Litt', 'Josh Flitter', 'Lola Daehler', ""Deirdre O'Connell"", 'Lauren Adler']","['Drama', 'Romance', 'Sci-Fi']",['us'],['en'],R,20000000.0,"$8,175,198, 21 Mar 2004",73169222.0,8.3,845624.0,19 Mar 2004 (USA),Eternal Sunshine of the Spotless Mind,Michel Gondry,Charlie Kaufman,Michel Gondry,Georges Bermann,Anthony Bregman,Focus Features,Anonymous Content,Jon Brion,Valdís Óskarsdóttir,Ellen Kuras,Ron von Blomberg,Scott Ferguson,Tricia Barrett
2004,The Day After Tomorrow,0319262,124,"['Dennis Quaid', 'Jake Gyllenhaal', 'Emmy Rossum', 'Dash Mihok', 'Jay O. Sanders', 'Sela Ward', 'Austin Nichols', 'Arjay Smith', 'Tamlyn Tomita', 'Sasha Roiz', 'Ian Holm', 'Nassim Sharara', 'Carl Alacchi', 'Kenneth Welsh', ""Michel 'Gish' Abou-Samah"", 'Robin Wilcock', 'Jason Blicker', 'Kenneth Moskow', 'Tim Hamaguchi', 'Glenn Plummer', 'Adrian Lester', 'Richard McMillan', 'Nestor Serrano', 'Sylvain Landry', 'Chris Britton', 'Vlasta Vrana', 'Pauline Little', 'Alan Fawcett', 'Howard Bilerman', 'John Maclaren', 'Frank Schorpion', 'Rachelle Glait', 'Pierre Leblanc', 'Richard Zeman', 'Perry King', 'Frank Fontaine', 'Mimi Kuzyk', 'Al Vandecruys', 'Vitali Makarov', 'Russell Yuen', 'Tim Bagley', 'Pierre Lenoir', 'Don Kirk', 'Lisa Canning', 'Terry Rhoads', 'Nicolas Feller', 'J.P. Manoux', 'Chuck Shamata', 'Phillip Jarrett', ""Ayana O'Shun"", 'Tony Calabretta', 'Vivian Winther', 'Sheila McCarthy', 'Tom Rooney', 'Amy Sloan', 'David Schaap', 'Marylou Belugou', 'Nobuya Shimamoto', 'Bunrey Miyake', 'Karen Glave', 'Jennifer Morehouse', 'Christian Tessier', 'Joe Cobden', 'Caroline Keenan', 'Aaron Lustig', 'Sam Woods', 'Jesus Perez', 'Jack Laufer', 'Luke Letourneau', 'John Sanford Moore', 'William Francis McGuire', 'Michael McNally', 'Anne Day-Jones', 'Emanuel Hoss-Desmarais', 'Lynne De Bel', 'Mikio Owaki', 'Terry Simpson', 'Alvin Tam', 'Joey Elias', 'Ron Darling', 'José Ramón Rosario', 'Kwasi Songui', 'John Colton', 'Dilva Henry', 'Mark Thompson', 'Wendy L. Walsh', 'Mark Pfister', 'Ana Garcia', 'Lauren Sanchez', 'Rob Fukuzaki', 'Ross King', 'Robert Holguin', 'Suzanne Michaels', 'Leyna Nguyen', 'Lina Patel', 'Rosey Edeh', 'Lori Graham', 'Jesse Todd', 'Gordon Masten', 'Matt Adler', 'Ray Légaré', 'Matt Holland', 'Greg Kramer', 'Joel McNichol', 'Rick Hoffman']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",['us'],"['en', 'ja', 'fr', 'ar']",PG-13,125000000.0,"$85,807,341, 30 May 2004",544272402.0,6.4,394680.0,26 May 2004 (United Arab Emirates),The Day After Tomorrow,Roland Emmerich,Roland Emmerich,,Roland Emmerich,Ute Emmerich,Twentieth Century Fox,Centropolis Entertainment,Harald Kloser,David Brenner,Ueli Steiger,Paul Hotte,Erik Ajduk,Charles Abou Aad
2004,A Series of Unfortunate Events,4834206,50,"['Neil Patrick Harris', 'Patrick Warburton', 'Malina Weissman', 'Louis Hynes', 'K. Todd Freeman', 'Presley Smith', 'Usman Ally', 'Jacqueline Robbins', 'Matty Cardarople', 'Joyce Robbins', 'John DeSantis', 'Lucy Punch', 'Dylan Kingwell', 'Tara Strong', 'Nathan Fillion', 'Patrick Breen', 'Sara Canning', 'Avi Lake', 'Will Arnett', 'Cobie Smulders', 'Kitana Turnbull', 'Allison Williams', 'Sara Rue', 'Cleo King', 'Darcey Johnson', 'Roger Bart', 'Tony Hale', 'Kerri Kenney', 'Joan Cusack', 'Chris Gauthier', 'BJ Harrison', 'Aasif Mandvi', ""Catherine O'Hara"", 'Barry Sonnenfeld', 'Robbie Amell', 'Alfre Woodard', 'Richard E. Grant', 'Beth Grant', 'Kevin Cahoon', 'Kassius Nelson', 'Carol Mansell', 'Bonnie Morgan', 'Timothy Webber', 'Luke Camilleri', 'Daniel Handler', 'Rob LaBelle', 'Lauren McGibbon', 'Malcolm Stewart', 'Arielle Tuliao', 'Cynthia Mendez']","['Adventure', 'Comedy', 'Drama', 'Family', 'Mystery']",['us'],['en'],TV-PG,,,,7.8,48802.0,,A Series of Unfortunate Events,,,,,,The Sonnenfeld Company,What is the Question?,,,,,,
2004,Christmas with the Kranks,0388419,99,"['Tim Allen', 'Jamie Lee Curtis', 'Dan Aykroyd', 'M. Emmet Walsh', 'Elizabeth Franz', 'Erik Per Sullivan', 'Cheech Marin', 'Jake Busey', 'Austin Pendleton', 'Tom Poston', 'Julie Gonzalo', 'René Lavan', 'Caroline Rhea', 'Felicity Huffman', 'Patrick Breen', 'John Short', 'Bonita Friedericy', 'David Hornsby', 'Kevin Chamberlin', 'Lyndon Smith', 'Ryan Pfening', 'Mark Christopher Lawrence', 'Rachel L. Smith', 'Vernee Watson', 'Arden Myrin', 'Jan Hoag', 'Joe Guzaldo', 'David L. Lander', 'Kim Rhodes', ""Patrick O'Connor"", 'Doug Cox', 'Matt Walsh', 'Andrew Daly', 'Dawn Didawick', 'Cary Thompson', 'Julia Roth', 'Taylor Block', 'Eryn Nicole Gonsalves', 'Chelsea Broussard', 'Paul Taylor', 'J.P. Romano', 'Victoria Chalaya', 'Rose Colasanti', 'Mark Correy', 'Laura Hall', 'Dava Hulsey', 'Mitch Kalamian', 'Cameron Lee', 'Sarah Loew', 'June Renee Santiano', 'Lauryn Mary Wilson']","['Comedy', 'Family']",['us'],"['en', 'es']",PG,60000000.0,"$21,570,867, 28 Nov 2004",96572480.0,5.3,37923.0,24 Nov 2004 (USA),Christmas with the Kranks,Joe Roth,John Grisham,,Michael Barnathan,Bruce A. Block,Revolution Studios,1492 Pictures,John Debney,Nick Moore,Don Burgess,Karen O'Hara,David M. Bernstein,Jason Anderson
2004,King Arthur,0349683,126,"['Clive Owen', 'Ioan Gruffudd', 'Mads Mikkelsen', 'Joel Edgerton', 'Hugh Dancy', 'Ray Winstone', 'Ray Stevenson', 'Keira Knightley', 'Stephen Dillane', 'Stellan Skarsgård', 'Til Schweiger', 'Sean Gilder', 'Pat Kinevane', 'Ivano Marescotti', 'Ken Stott', 'Lorenzo De Angelis', 'Stefania Orsola Garello', 'Alan Devine', 'Charlie Creed-Miles', 'David Murray', 'Ned Dennehy', 'Phelim Drew', 'Des Braiden', 'Malachy McKenna', 'Brian McGuinness', 'Patrick Leech', 'Bosco Hogan', 'David Wilmot', ""Lochlann O'Mearáin"", 'Paul McGlinchey', 'Dessie Gallagher', 'Maria Gladkowska', 'Shane Murray-Corcoran', 'Daire McCormack', 'Dawn Bradfield', 'Lesley Ann Shaw', 'Joe McKinney', ""Gerry O'Brien"", 'Brian Condon', 'Donncha Crowley', 'Chick Allan', 'Elliot Henderson-Boyle', 'Clive Russell', 'Stephanie Putson', 'Graham McTavish', 'Pavel Bousek', 'Terence Dackombe', 'Desmond Daly', 'Nigel Martin Davey', 'Damion Dixon', 'Beans El-Balawi', 'John Micheal Foulger', 'Robert Knox', 'Andrew Kybett', 'Chris Luck', 'Paul Tall-Order Ritchie', 'Owen Teale', 'Gerry Wade']","['Action', 'Adventure', 'Drama', 'History', 'War']","['us', 'gb', 'ie']","['en', 'la', 'ga', 'cy', 'gd']",Unrated,120000000.0,"$15,193,907, 11 Jul 2004",,6.3,153932.0,07 Jul 2004 (USA),King Arthur,Antoine Fuqua,David Franzoni,,Jerry Bruckheimer,Ned Dowd,Touchstone Pictures,Jerry Bruckheimer Films,Hans Zimmer,Conrad Buff IV,Slawomir Idziak,Olivia Bloch-Lainé,Tony Aherne,Joe Arnold
2004,The Phantom of the Opera,0293508,143,"['Gerard Butler', 'Emmy Rossum', 'Patrick Wilson', 'Miranda Richardson', 'Minnie Driver', 'Ciarán Hinds', 'Simon Callow', 'Victor McGuire', 'Jennifer Ellison', 'Murray Melvin', 'Kevin McNally', 'James Fleet', 'Imogen Bain', 'Miles Western', 'Judith Paris', 'Halcro Johnston', 'Paul Brooke', 'Oliver Chopping', 'Alison Skilbeck', 'Lee Sellers', 'Ramin Karimloo', 'Chris Overton', 'Jesika Cannon', 'Annabel Porter', 'Laura Hounsom', 'Lorraine Stewart', 'Lucy Casson', 'Jonathan D. Ellis', 'Jose Tirado', 'David Langham', 'Sebastien Torkia', 'Chris Jarvis', 'Liesl Dowsett', 'Greet Botterman', 'Kirsty Tapp', 'Amy Lawson', 'Tess Cunningham', 'Kathryn Dunn', 'Pia Driver', 'Sophia Hurdley', 'Elena Buda', 'Mark Carroll', 'Brian Wheeler', 'Terry Kelly', 'David Arneil', 'John Griffiths', 'Graham McDuff', 'Tricia Deighton', 'Mandy Holliday', 'Jackie Marks', 'Sophie-Louise Dann', 'Valerie Cutko', 'Julia Worsley', 'Margaret Preece', 'Annalene Beechey', 'Lucy Potter', 'Remy Martyn', 'Richard Bayliss', 'Andrew Charles Corbett', 'Ralph Broadbent', 'Damien Lee Stirk', 'Alexander Cameron', 'Pascal Langdale', 'Paul Costin', 'Carlos Otera', 'Matthew Draper', 'Annika Strandberg', 'Ben Gant', 'Beth Sheather', 'Jonathon Hill', 'Isabel Lesto', 'Sarah Frasca', 'Timothy Kipling', 'Sandra Eloani', 'Jonathon Kitchen', 'Ruben Halse', 'Tristan Keyte', 'Damian Jones', 'Michael Mansbridge', 'Jeff Moore', 'Vanessa Perroncel', 'Lea Jerova', 'Julian Poole', 'Rebekah Dobbins', 'James Pullman', 'Lee Chapman', 'Robert Purvis', 'Gavin Lee', 'Dave Tosh', 'Rod Buchanan', 'Chris Worsey', 'Ashley Wallen', 'Adam Pudney', 'Ben Garner', 'Blake Clayfield', 'Damien Delaney', 'Marcus Tesch', 'Michael Small', 'Milo Miles', 'Nathan Clark', 'Stephen B. White', 'Stephen Berkeley', 'Kasper Cornish', 'Philip Catchpole', 'Ryan Jenkins', 'Gavin Wilkinson', 'Alec Mann', 'Scott Wyer', 'Paul Micha', 'Clinton Goldsmith', 'Andrew Corbett', 'Luis Gallo Mudarra', 'Damien Jackson', 'Tom Tanscy', 'Luke Jackson', 'Aaron Sillis', 'Melanie Perks', 'Lorena Randi', 'Lisa Stevens', 'Rachael Crocker', 'Julia Florimo', 'Caroline Lynn', 'Joanna Woodliffe', 'Marilena Nicolaou', 'Joanna Ernest', 'Georgina Hagerty', 'Simone De La Rue', 'Claire Goodman', 'Gem Collingwood', 'Maddy G. Harris', 'Juliet Gough', 'Deborah Bundy', 'Pippa Raine', 'Leigh Daniels', 'Gabriel Noble', 'Maryam Pourian', 'Candice Evans', 'Janine Davis', 'Bethany Elliot', 'Dawn Collins', 'Max Thomas']","['Drama', 'Musical', 'Romance', 'Thriller']","['gb', 'us']","['en', 'it']",PG-13::(No. 40943),70000000.0,,103380072.0,7.3,111467.0,10 Dec 2004 (UK),The Phantom of the Opera,Joel Schumacher,Gaston Leroux,,Jeff Abberley,Sarah Arnott,Warner Bros.,Odyssey Entertainment,,Terry Rawlings,John Mathieson,Celia Bobak,Terry Bamber,Kimberly Adams
